"portal","country","usage","published_cap","cap_kb","cap_type","total_or_max_files","formats","source_url","date_checked","confidence"
"Seguridad Social (registro electrónico)","ES","Documents added to a Social Security file","El tamaño total de la documentación a anexar no deberá superar los 10 Mb.","10240","published_cap","10 MB total","not stated","https://sede.seg-social.gob.es/wps/portal/sede/sede/Inicio/RegistroElectronico/aportacion","2026-09-16","official"
"Import@ss","ES","Documents for a change in self-employed data (wording suggests a total)","La documentación requerida en cada caso, que no podrá superar los 10 MB.","10240","published_cap","10 MB total","not stated","https://portal.seg-social.gob.es/wps/portal/importass/importass/Categorias/Altas,+bajas+y+modificaciones/Bajas+y+modificaciones/Solicitud_mod_datos_trabajo_autonomo","2026-09-16","official (ambiguous wording, probably a total)"
"Ayuntamiento de Madrid","ES","Requests to the city, up to 13 documents","Se permite adjuntar hasta un máximo de 13 documentos (hasta 15 MB en total y un máximo de 10 MB por documento)","10240","published_cap","13 documents, 15 MB total","pdf, docx, jpg, png, odt, zip and others","https://www.madrid.es/portales/munimadrid/es/Inicio/Informacion-en-materia-de-Registro/Informacion-sobre-el-registro-electronico/Registro-electronico/?vgnextfmt=default&vgnextoid=4d629f7aec219210VgnVCM100000171f5a0aRCRD&vgnextchannel=293f0c10c6b05810VgnVCM1000001d4a900aRCRD","2026-09-16","official"
"Ingreso Mínimo Vital","ES","Documents for the whole household's application","El tamaño máximo total de la documentación que puede adjuntar es de 15Mb.","15360","published_cap","15 MB total","not stated","https://sede.seg-social.gob.es/wps/portal/sede/sede/Ciudadanos/Otros+Procedimientos/270420INSS_SinC","2026-09-16","official"
"Ministerio de Sanidad","ES","Attachments to a request (15 MB on the generic request form)","El tamaño máximo de todos los ficheros que se adjuntan a una solicitud no puede superar los 20 MB","20480","published_cap","20 MB total","not stated","https://sede.mscbs.gob.es/registroElectronico/pdf/Guia_de_ayuda_para_la_presentacion_de_formularios.pdf","2026-09-16","official"
"Banco de España","ES","Form plus attachments, e.g. bank complaints, 20 files","Total size (form + attachments): up to 25 MB. Maximum 20 files per submission.","25600","published_cap","25 MB total, 20 files","DOC, DOCX, JPG, MP3, PDF, PNG, RTF, TIFF, TXT, XML, XLS(X)","https://sedeelectronica.bde.es/sede/en/registro-electronico--informacion-general--requisitos-tecnicos-e.html","2026-09-16","official"
"Red.es","ES","Documents for Red.es applications","el tamaño máximo para la suma de todos los documentos es de 25 MB","25600","published_cap","25 MB total","pdf, doc(x), odt, xls(x), jpg, zip, rar, 7z and others","https://sede.red.gob.es/en/ayuda/presentacion-documentacion","2026-09-16","official"
"Concello da Coruña","ES","Documents attached to a request","Si el tamaño total es inferior a 50 MB, y no hay ningún archivo que supere los 30 Mb ... puede adjuntar todos los documentos","30720","published_cap","50 MB total","not stated","https://sede.coruna.gal/sede/es/ayuda/docu-gran-tamano?argIdioma=es","2026-09-16","official"
"IPS (oposiciones)","ES","Attachments to a civil service exam registration (2022 user manual)","el ciudadano podrá adjuntar documentos hasta un máximo de 50MB entre todos ellos","51200","published_cap","50 MB total","not stated","https://www.ciencia.gob.es/dam/jcr:b49eedc9-fef2-4895-889d-a58711a663ac/IPS_Manual_usuario.pdf","2026-09-16","official"
"Catastro","ES","Cadastral requests, everything in one ZIP file","El tamaño máximo permitido del fichero comprimido que se adjunta es 60 Mega bytes.","61440","published_cap","60 MB total","a single ZIP","https://www.catastro.hacienda.gob.es/ayuda/modelos_ayuda_generico.htm","2026-09-16","official"
"Agencia Tributaria","ES","Supporting documents for a filed return","El tamaño admitido de cada uno de los ficheros adjuntados no puede exceder los 64 Mb","65536","published_cap","not stated","csv, docx, gif, png, jpg, pdf, mp3, mp4, txt, zip, 7z","https://sede.agenciatributaria.gob.es/Sede/ayuda/consultas-informaticas/presentacion-declaraciones-ayuda-tecnica/presentacion-documentacion-complementaria.html","2026-09-16","official"
"Xunta de Galicia","ES","All documents in one submission","El tamaño máximo del conjunto de documentos aportados en una presentación en esta sede es de 100 MB","102400","published_cap","100 MB total","pdf, docx, jpg, png, odt, mp4 and others; no archives","https://sede.xunta.gal/es/como-podo/presentar-documentacion-gran-tamano","2026-09-16","official"
"Tecnoempleo","ES","Candidate resume (only the photo size is stated)","not documented","","not_documented","not stated","not stated","https://www.tecnoempleo.com/ayuda.php","2026-09-16","not documented"
"UNED","ES","Applications and documents","not documented","","not_documented","not stated","not stated","https://uned.sede.gob.es/faqs","2026-09-16","not documented"
"Comunidad de Madrid (preinscripción universitaria)","ES","Documents for a university place application","not documented","","not_documented","not stated","not stated","https://www.comunidad.madrid/educacion/preguntas-frecuentes-estudios-universitarios","2026-09-16","not documented"
"Universidad Complutense de Madrid","ES","Pre-enrolment documents (PDF required)","not documented","","not_documented","not stated","PDF","https://www.ucm.es/faqs-1","2026-09-16","not documented"
"Becas MEC","ES","General grant application","not documented","","not_documented","not stated","not stated","https://www.becaseducacion.gob.es/becas-y-ayudas/fp-bachillerato-otros/como-solicitarla.html","2026-09-16","not documented"
"Servicio Andaluz de Salud","ES","Online health service procedures","not documented","","not_documented","not stated","not stated","https://www.sspa.juntadeandalucia.es/servicioandaluzdesalud/ciudadania/clicsalud/tramites","2026-09-16","not documented"
"Mercurio (extranjería)","ES","Residence and work permit applications (5 and 6 MB only in secondary sources, not kept)","not documented","","not_documented","not stated","PDF","https://mercurio.delegaciondelgobierno.gob.es/mercurio/inicioMercurio.html","2026-09-16","not documented"
"MPSC","IN","Certificates on the mpsconline.gov.in portal (interface message, undated)","Please select a document less than or equal to 150KB.","150","published_cap","not stated","PDF; photo under 35 KB, signature under 20 KB","https://mpsconline.gov.in/candidate","2026-09-16","official (portal interface messages, no publication date)"
"UPSC","IN","Photo ID and PwBD certificate (FAQ of the portal used in 2025; the 2026 portal may differ)","Photograph identity card document / certificate related to writing extremity of PwBD ... not exceed 300 KB and must not less than 50 KB.","300","published_cap","not stated","PDF (ID document); photo and signature JPG 20 to 300 KB","https://upsconline.gov.in/upsc/OTRP/candidate/FAQs.pdf","2026-09-16","official (technical FAQ of the former OTR portal; the 2026 notice gives no figure)"
"NEET (UG) 2026","IN","Category and class 10 certificates, address proof and other PDFs","Scanned copy of Category Certificate (if applicable) should be in pdf format between 50 kb to 300 kb.","300","published_cap","not stated","PDF 50-300 KB; photo 10-200 KB, signature 10-100 KB in JPG","https://cdnbbsr.s3waas.gov.in/s37bc1ec1d9c3426357e69acd5bf320061/uploads/2026/02/202602231394640855.pdf","2026-09-16","official"
"JEE (Main) 2026","IN","Class 10 certificate, disability certificate","Scanned copy of Class 10 or Equivalent Certificate/Marks-sheet should be a pdf between 50 kb to 300 kb (clearly legible).","300","published_cap","not stated","PDF 50-300 KB; photo 10-200 KB, signature 10-100 KB in JPG","https://cdnbbsr.s3waas.gov.in/s3f8e59f4b2fe7c5705bf878bbd494ccdf/uploads/2025/11/202511021649722475.pdf","2026-09-16","official"
"CUET (UG) 2026","IN","Disability / UDID certificate","Scanned copy of Disability/UDID certificate should be a pdf between 50 kb to 300 kb (clearly legible).","300","published_cap","not stated","PDF 50-300 KB; photo 10-200 KB, signature 10-50 KB in JPG","https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2026/01/202601031633478370.pdf","2026-09-16","official"
"UGC-NET June 2026","IN","Disability / UDID certificate, both sides in one PDF","Pwd/PwBD Disability Certificate/UDID with both side in same pdf (file size: 50kb-300kb).","300","published_cap","not stated","PDF 50-300 KB; photo 10-200 KB, signature 10-50 KB in JPG","https://cdnbbsr.s3waas.gov.in/s301eee509ee2f68dc6014898c309e86bf/uploads/2026/04/202604301078678748.pdf","2026-09-16","official"
"RRB NTPC (CEN 06/2025)","IN","SC/ST certificate for the free rail pass (scanned notice hosted by RRB Bhubaneswar)","The document must be in PDF format only. File size should be less than 400 KB.","400","published_cap","not stated","PDF only; signature JPG 30-49 KB; live photo","https://www.rrbbbs.gov.in/documentexplorer.php?prmt=TVRZd01nPT0=","2026-09-16","official"
"IBPS (PO/MT-XVI)","IN","Class 10 certificate, A4 page","Document must be in PDF format. Page size of the document to be A4. Size of the file should not be exceeding 500 KB.","500","published_cap","not stated","PDF (certificate); photo 20-50 KB, signature 10-20 KB, thumb 20-50 KB, declaration 50-100 KB in JPEG","https://www.ibps.in/wp-content/uploads/Detailed-Notification_CRP-PO-XVI_Final_V1_30.06.2026.pdf","2026-09-16","official"
"SBI Careers","IN","Documents and detailed resume, specialist officer advertisement of August 2026","Size of the file should not be exceeding 500 kb.","500","published_cap","not stated","PDF, A4; photo 20-50 KB, signature 10-20 KB in JPG","https://sbi.bank.in/documents/77530/57941334/FINAL+ADVT+CRPD_SCO_2026-27_12.pdf/1c6d4f7f-ca97-cc9c-6e00-5b6744a1283d?t=1786026186547","2026-09-16","official"
"ICICI Bank","IN","KYC update for non-resident customers on iMobile (Net Banking: 500 to 1,800 KB by document)","File size limit: The file size of each document should not exceed the upper limit of 500 KB.","500","published_cap","Net Banking: 500 to 1,800 KB depending on document and account type","PDF, JPEG, JPG, PNG","https://www.icici.bank.in/nri-banking/update-kyc","2026-09-16","official"
"Passport Seva","IN","All supporting documents together, 5 documents max (SOP published by an Indian mission)","Maximum Size allowed 1 MB. The total of all uploaded documents should be not more than 1 MB","1024","published_cap","1 MB for all uploaded documents, 5 documents max","PDF only","https://hcimbabane.gov.in/uploads/SOP_applicant_portal26_11_2025.pdf","2026-09-16","official (SOP of the High Commission of India, Mbabane, November 2025)"
"GST portal (registration)","IN","Registration documents (500 KB for bank statements)","all documents must be in either PDF or JPEG format and the file size should NOT exceed 1 MB","1024","published_cap","500 KB for bank statements or passbook","PDF or JPEG; photos 100 KB","https://cbic-gst.gov.in/pdf/faq-manual/faqs-registration.pdf","2026-09-16","official"
"Kotak Mahindra Bank","IN","KYC documents in net or mobile banking","formats allowed for the scanned documents are PDF, JPEG, JPG, GIF and PNG and the file size should be less than 1 MB","1024","published_cap","5 MB total per secure mail (non-resident customers)","PDF, JPEG, JPG, GIF, PNG","https://www.kotak.bank.in/en/help-center/bank-account/kyc-and-re-kyc/do-you-wish-to-update-your-kyc-information.html","2026-09-16","official"
"Naukri.com","IN","Resume upload","Please try reducing the size of your document to less than 2 MB.","2048","published_cap","not stated","pdf, rtf, doc, docx","https://www.naukri.com/faq/job-seeker-create-naukri-profile","2026-09-16","official"
"LinkedIn","IN","Resume for a job application (recommendation, not counted)","We recommend a file size less than 2MB and the file format must be either Microsoft Word or PDF.","2048","recommendation","not stated","Microsoft Word or PDF","https://www.linkedin.com/help/linkedin/answer/a510363/","2026-09-16","official (recommendation, not a hard cap)"
"Income Tax e-filing","IN","Attachments to an e-Proceedings response (10 files, 50 MB total)","The maximum size permitted of a single attachment is 5 MB.","5120","published_cap","10 attachments, 50 MB total","not stated","https://www.incometax.gov.in/iec/foportal/help/respond-to-e-proceedings-faq","2026-09-16","official"
"GST portal (refund)","IN","Refund documents (10 files, 50 MB total)","The GST Common Portal allows taxpayers to upload 10 documents up to 5 MB each (total 50 MB).","5120","published_cap","10 documents, 50 MB total","PDF advised","https://tutorial.gst.gov.in/downloads/news/tips_refund.pdf","2026-09-16","official"
"Internshala","IN","Resume import in the Resume Maker tool, not the application itself","Accepts PDF, DOCX (Max 5MB).","5120","published_cap","not stated","PDF, DOCX","https://internshala.com/resume-maker/","2026-09-16","official (limit shown in the Resume Maker import, not in a help centre)"
"eCourts e-filing","IN","Documents in court e-filing (user manual, August 2018)","Currently the maximum size a document can be uploaded is 25MB","25600","published_cap","not stated","PDF scanned at 200 dpi; photo JPG under 50 KB","https://ecourts.gov.in/ecourts_home/static/manuals/efiling-User-manual.pdf","2026-09-16","official (user manual printed August 2018; limit may have changed)"
"SSC (CGL 2026)","IN","Certificates and OTR documents (only the signature size is published: JPG 10 to 20 KB)","not documented","","not_documented","not stated","signature JPG 10 to 20 KB; live photo","https://ssc.gov.in/api/attachment/uploads/masterData/NoticeBoards/Notice_of_adv_cgl_2025.pdf","2026-09-16","not documented"
"SBI Junior Associates 2026","IN","Application asks for four JPG images only (photo 20-50 KB, signature 10-20 KB), no PDF","not documented","","not_documented","not stated","JPG/JPEG only","https://sbi.bank.in/webfiles/uploads/files_2627/08/JA_2026_Detailed_Advt_Eng.pdf","2026-09-16","not documented"
"GATE 2026","IN","Category and disability certificates (size applied only inside the logged-in GOAPS form)","not documented","","not_documented","not stated","PDF; photo JPEG 5-600 KB, signature 3-300 KB","https://gate2026.iitg.ac.in/doc/IB/GATE2026-IB-10102025.pdf","2026-09-16","not documented"
"TNPSC","IN","One-time registration (notifications site unreachable from outside India)","not documented","","not_documented","not stated","photo and signature JPEG","https://apply.tnpscexams.in/otr?app_id=UElZMDAwMDAwMQ==","2026-09-16","not documented"
"BPSC","IN","Combined competitive exam (official sites unreachable from outside India)","not documented","","not_documented","not stated","not stated","https://bpsc.bihar.gov.in/","2026-09-16","not documented"
"UPPSC","IN","PCS exam and one-time registration","not documented","","not_documented","not stated","not stated","https://uppsc.up.nic.in/OuterPages/OnlineInstruction_English.html","2026-09-16","not documented"
"National Scholarship Portal","IN","Scholarship documents (format and size shown in the upload pop-up only)","not documented","","not_documented","not stated","not stated","https://scholarships.gov.in/public/FAQ/FAQ%20NSP.pdf","2026-09-16","not documented"
"DigiLocker","IN","Uploaded documents (only contradictory third-party figures)","not documented","","not_documented","not stated","not stated","https://www.digilocker.gov.in/","2026-09-16","not documented"
"AICTE","IN","Approval portal and scholarships","not documented","","not_documented","not stated","not stated","https://www.aicte.gov.in/","2026-09-16","not documented"
"CBSE (SARAS)","IN","School affiliation and private candidates","not documented","","not_documented","not stated","not stated","https://saras.cbse.gov.in/","2026-09-16","not documented"
"EPFO Unified Member Portal","IN","KYC and claim documents","not documented","","not_documented","not stated","not stated","https://www.epfindia.gov.in/","2026-09-16","not documented"
"myAadhaar","IN","Identity and address proof update (2 MB only on third-party sites)","not documented","","not_documented","not stated","not stated","https://uidai.gov.in/","2026-09-16","not documented"
"PAN (Protean, UTIITSL)","IN","PAN card application documents","not documented","","not_documented","not stated","not stated","https://www.protean-tinpan.com/","2026-09-16","not documented"
"e-Shram","IN","Worker registration (Aadhaar e-KYC, no PDF upload documented)","not documented","","not_documented","not stated","not stated","https://eshram.gov.in/","2026-09-16","not documented"
"Parivahan (Sarathi, Vahan)","IN","Driving licence and vehicle services","not documented","","not_documented","not stated","not stated","https://sarathi.parivahan.gov.in/sarathiservice/faq.do","2026-09-16","not documented"
"PM-Kisan","IN","Farmer support scheme (site unreachable from outside India)","not documented","","not_documented","not stated","not stated","https://pmkisan.gov.in/","2026-09-16","not documented"
"CPGRAMS","IN","Public grievance attachments (PDF, no size in the manual)","not documented","","not_documented","not stated","PDF","https://pgportal.gov.in/CPGOFFICE/Documents/CPGRAMS-Help.pdf","2026-09-16","not documented"
"Indeed India","IN","Resume file upload","not documented","","not_documented","not stated","not stated","https://www.indeed.com/help/job-seekers/articles/4408783727629-uploading-a-resume-file-to-your-profile?hl=en&co=US","2026-09-16","not documented"
"Foundit","IN","Resume upload","not documented","","not_documented","not stated","not stated","https://www.foundit.in/info/help","2026-09-16","not documented"
"Apna","IN","Resume upload","not documented","","not_documented","not stated","not stated","https://apna.co/candidate-help-center/15/how-to-upload-resume","2026-09-16","not documented"
"LIC","IN","Customer portal documents (images under 100 KB only, PDF not accepted)","not documented","","not_documented","not stated","bmp, png, jpg, jpeg, gif, tiff","https://originlic.licindia.in/faqs","2026-09-16","not documented"
"eNPS (Protean)","IN","Pension account opening (photo and signature JPG 4 to 12 KB, no PDF upload)","not documented","","not_documented","not stated","JPG","https://enps.nps-proteantech.in/eNPS/NationalPensionSystem.html","2026-09-16","not documented"
"HDFC Bank","IN","Online Re-KYC (2 MB only on a third-party tool, not kept)","not documented","","not_documented","not stated","not stated","https://www.hdfc.bank.in/savings-account/services/re-kyc","2026-09-16","not documented"
"Axis Bank","IN","Re-KYC","not documented","","not_documented","not stated","not stated","https://www.axis.bank.in/re-kyc","2026-09-16","not documented"
"CKYC (CERSAI)","IN","Central KYC registry (filled by institutions)","not documented","","not_documented","not stated","not stated","https://cersai.org.in/CERSAI/home.prg","2026-09-16","not documented"
